text,label,year
netflix actually made the dating app from black mirror's 'hang the dj' episode,4,2018
'spokespuppet' kellyanne conway can't stop leaking on 'jimmy kimmel live!',2,2018
amy poehler: a 'parks and recreation' revival would be 'amazing',4,2018
"kathy griffin to tour the u.s. again, nearly 1 year after trump photo",4,2018
this oscars drinking game is the only way to keep the show moving,4,2018
stephen colbert suggests why donald trump is skipping the super bowl interview,2,2018
larry nassar sentenced to 40 to 125 years on 3 additional child sexual abuse charges,8,2018
pam and jim ’shippers are coming after jenna fischer's new on-screen love,4,2018
stephen king needed a laugh. twitter picked him up in a big way.,4,2018
that time david duchovny talked about booty calls with prince charles,4,2018
'weird al' yankovic just made history in the weirdest way possible,4,2018
alison brie talks allegations against brother-in-law james franco at sag awards,4,2018
greta gerwig becomes fifth woman ever nominated for best director oscar,4,2018
adam rippon aced 'dancing with the stars' -- like you knew he would,4,2018
olympic committee gives usa gymnastics an ultimatum over sex abuse scandal,8,2018
jimmy kimmel knows why iran's supreme leader watches 'tom and jerry',2,2018
how 'the shape of water' makes people with disabilities feel less human,4,2018
papers from blackbeard wreckage lead to 18th-century voyage thriller,7,2018
"amia tyrae, transgender woman of color, killed in baton rouge",6,2018
america ferrera announces pregnancy in cutest new year's way,4,2018
michael b. jordan on his 'dark' preparation for 'black panther' role,0,2018
"lisa bonet says bill cosby always had a ‘sinister, shadow energy’",0,2018
"oprah surprised tiffany haddish, who responded like any mere mortal would",4,2018
"2 men charged in murder of same-sex couple, children in upstate new york",6,2018
chrissy teigen spills first details about new baby boy: 'we are in love',4,2018
german broadcaster criticized for 'racist coverage' of royal wedding,0,2018
trevor noah breaks down the major flaw with facebook's new dating feature,2,2018
hilary swank and brother goof on wine tasters in hilarious prank,4,2018
there's something missing from hope hicks' send-off photo: diversity,0,2018
john oliver defends u.s. to the world: ‘trump does not reflect america’,2,2018
jean-claude van damme explains why his ball-punching move 'always works' in real life,4,2018
trump news conference spliced with 'cruel intentions' absolutely fits,2,2018
nasa rocketed human sperm into space,7,2018
ex-volkswagen ceo charged in u.s. over emissions cheating scandal,1,2018
man arrested over threats to cnn:  'fake news. i'm coming to gun you all down.',3,2018
trevor noah has spotted a funny musical thing about donald trump's speech patterns,2,2018
teen says msu is still billing her family for appointments where nassar assaulted her,8,2018
olympian gus kenworthy sets a new standard for queer inclusion in ad campaign,6,2018
sean bean's role in 'game of thrones' was much bigger than you thought,4,2018
maisie williams zings donald trump while teasing 'game of thrones' ending,4,2018
exploiting black labor after the abolition of slavery,0,2018
comedy sketch gives a look at the first russian troll farm in the u.s.,4,2018
trevor noah has a mind blowing theory about sean hannity,2,2018
time traveler jimmy kimmel warns baby donald trump about james comey's book,2,2018
patriots qb tom brady after super bowl loss: 'i expect to be back',8,2018
seth meyers: trump knows who's to blame for the shutdown (and it's not democrats),2,2018
magician david copperfield accused of sexual assault by ex-teen model,4,2018
'ready player one' scores at the box office,4,2018
what to watch on amazon prime that’s new this week,4,2018
country music star tim mcgraw collapses on stage in ireland,4,2018
ed sheeran wants to build a private chapel on his property in england,4,2018
what you missed about the saddest death in 'avengers: infinity war',4,2018
ellen degeneres has tessa virtue and scott moir play 'definitely not dating' game,4,2018
sza admits she was 'mad as hell' after grammy shutout,0,2018
people on the street apologize to their old teachers on 'jimmy kimmel live',2,2018
we tried to get a 'game of thrones' vs. 'handmaid's tale' rivalry going. it didn't work.,4,2018
the loss of a queer legend: stylist and tastemaker judy blame,6,2018
"the 2018 winter olympics in pyeongchang, by the numbers",8,2018
the no. 2 question in 'westworld' finally has an answer,4,2018
ron jeremy banned from porn awards after admitting he's a 'groper',4,2018
twitter has suspended 1.2 million accounts for 'terrorist content',1,2018
roseanne barr dreams of being prime minister of israel,4,2018
woman delivers her own baby alone in a hotel using just youtube videos,0,2018
'daily show' explains how we hack our own elections better than russia ever could,4,2018
the first date of 'the bachelor' featured a weird gifting suite full of gowns,4,2018
try not to cry at this surprise military reunion on 'the ellen degeneres show',4,2018
mario batali business partner says chinese men 'have some defects' on italian tv,4,2018
'big little lies' season 2 already looks to die for,4,2018
uber is still losing carloads of money,1,2018
black men arrested at starbucks said they were there for 2 minutes before 911 call,0,2018
marvel head kevin feige calls 'black panther' the best movie the studio has ever made,0,2018
"bitcoin plummets on fears of regulatory crackdown, hits 4-week low",1,2018
facebook gets into the online dating business,9,2018
'avengers: infinity war' directors reveal who died and survived off screen,4,2018
man who pined for his ex-wife on ‘queer eye’ announces they’re back together,4,2018
"katy perry's middle-school friend surprises her on tv, shares some priceless memories",4,2018
ban the united states from the olympics,8,2018
william friedkin's faith in exorcisms is unwavering. as for diversity in hollywood? it 'snags' him.,4,2018
ryan reynolds crashes colbert as deadpool to crack some x-rated trump jokes,2,2018
'black panther' premiere gloriously celebrates african royalty,0,2018
"watch blue ivy bid $19,000 on art like it's no big deal",4,2018
"the most popular u.s. destinations of 2018, according to tripadvisor",10,2018
snapchat's value drops $1.3 billion after 1 kylie jenner tweet,9,2018
jason aldean on his new album and what he learned from vegas,4,2018
casey affleck is skipping the oscars amid #metoo backlash,4,2018
sarah hyland under fire for tone-deaf golden globes after-party video,4,2018
anne hathaway has a message for her 'corny' oscars 'haters' from 2013,4,2018
'am i next?': students rally with powerful signs against school violence,5,2018
'dawson's creek' creator says he wouldn't let pacey date teacher today,4,2018
'incendiary device' in austin injures worker. police not linking it to package bombs.,3,2018
take a peek at the whitney houston movie her estate doesn't mind if you see,4,2018
what to watch on hulu that’s new this week,4,2018
jay-z says there's one 'great thing' trump has done,4,2018
"the real stormy daniels warns 'trump' on 'snl':  storm's a comin', baby",2,2018
this otherworldly fantasy novel features a queer black teen as its protagonist,6,2018
kids deliver brutal review of donald trump's first year in office for jimmy kimmel,2,2018
stephen colbert taunts trump with some of the worst legal advice of all time,2,2018
this new boy band is ed sheeran and taylor swift-approved,4,2018
rob gray's man bun just won the ncaa tournament,8,2018
trump declared himself mentally stable and stephen colbert isn’t having it,2,2018
the karolyis say they had no idea about nassar abuse at their training facility,8,2018
gisele bündchen has a word with eagles players after super bowl,8,2018
fifth harmony's lauren jauregui blasts 'toxic' homophobia in poignant twitter exchange,6,2018
seth meyers dissects donald trump's failure in tackling the opioid epidemic,2,2018
brad pitt made ryan reynolds do one demeaning thing in exchange for 'deadpool 2' cameo,4,2018
jennifer lawrence is in a full-blown feud with a reality tv star,4,2018
first openly bisexual governor kate brown sounds off on equality under trump,6,2018
jim carrey starts controversy with painting that looks like sarah huckabee sanders,4,2018
pink had a badass response to a troll who said she looked old,4,2018
nicole eggert files police report of sexual abuse against scott baio,4,2018
second girl sentenced for ‘slender man’ stabbing,3,2018
"u.s. olympic committee ceo scott blackmun resigns, cites health issues",8,2018
here’s exactly when to book an international flight (based on new data from more than a million airfares),10,2018
kevin hart takes on his own cheating scandals in new j. cole video,0,2018
adam rippon confirms there's 'maybe' some drama with johnny weir,4,2018
gay olympian feels bad adam rippon is dealing with anti-lgbtq politics,6,2018
equifax says another 2.4 million customers hit by data breach in 2017,9,2018
sam bee's team is apologizing to people trump offends. it's harder than they thought.,2,2018
weinstein company sale falls through,4,2018
"slovenian ice hockey player fails doping test, has to leave olympics",8,2018
fake wolf blitzer accepts a trump fake news award from real jimmy kimmel,2,2018
"'this is u.s.' is all tears with ben, jared and sarah in 'snl' parody",2,2018
"chrissy teigen 'gasps' at cardi b song calling for threesome with her, rihanna",4,2018
'westworld' opening sequence may hint at mother of all theories,4,2018
joie lamar talks new creative book honoring pulse nightclub 49 (audio),6,2018
the world gets turned upside down in revealing new 'handmaid's tale' trailer,4,2018
james corden's dad rapping with daddy yankee at grammys is everything,4,2018
catholic university in kansas cancels art exhibit meant to celebrate queer creativity,6,2018
now boba fett is getting his own 'star wars' movie,4,2018
what hollywood gets wrong about drug addiction,4,2018
chrissy teigen's complaint about john legend 'is marriage summed up in one tweet',4,2018
netflix paid 'the crown' star claire foy less than her on-screen husband,4,2018
suzanne somers says she's 'happy' about trump,4,2018
rapper common bashes nra during oscars performance: 'they in god's way',0,2018
amy schumer nails why meghan markle's fairytale wedding actually 'sucks',4,2018
claire danes is done with 'homeland',4,2018
6 breathtaking destinations with no cell service for your next vacation,10,2018
jenna dewan handles ellen degeneres' divorce flub like a total pro,4,2018
michelle obama reflects on ‘scary’ time at princeton with sweet throwback snap,0,2018
it’s time for the smug celebs-meet-the-normies oscars skit to die,4,2018
"kendrick lamar, sza highlight the stunning beauty of africa in 'all the stars' video",0,2018
damon wayans completely rips clayne crawford in twitter outburst,4,2018
jane fonda busts out one shady comeback for lily tomlin’s face-lift joke,4,2018
stephen colbert issues a rare apology to donald trump,2,2018
facebook investigates claim that employee used 'privileged access' to stalk women,9,2018
kate winslet talks about 'bitter regrets' of working with certain people,4,2018
missing daughters of slain texas woman found safe (update),3,2018
olympics figure skater yura min overcomes wardrobe malfunction with calm and class,8,2018
jim carrey blasts 'castrato' adam schiff and democrats in new artwork,4,2018
kim kardashian and chrissy teigen hilariously roast kanye west over his life advice,4,2018
apple eyes fix for chip flaw leaving consumers without secure web browsing,9,2018
troye sivan would've loved to play elio in 'call me by your name',6,2018
trevor noah unloads on supposed 'advocate for women' eric schneiderman,2,2018
the 'avengers' trailer is somehow even better when everyone is deadpool,4,2018
drew carey of 'price is right' takes scary fall after contestant hug,4,2018
"amazon's health care plans are driven by its bottom line, not its people",5,2018
westminster dog show brings out the best in twitter,4,2018
lady antebellum flubs national anthem before nhl playoff game,4,2018
christie brinkley says a married donald trump hit on her in the '80s,4,2018
"uranus is actually a giant ball of farts floating in space, study finds",7,2018
'queer eye' star karamo brown engaged to director ian jordan,4,2018
these pups rescued from puerto rico are part of this year's puppy bowl,8,2018
salvation army opens its first nonprofit grocery store to combat food deserts,5,2018
doctor dismisses british man's claims that medication made him gay,6,2018
chance the rapper clarifies that he does not support donald trump,0,2018
rupaul and ellen judge a hilariously extreme lip sync competition,6,2018
conor mcgregor charged with assault in chaotic attack of bus,8,2018
u.s. 'shib sibs' win olympic bronze and everybody's hearts,8,2018
tiffany haddish says an anonymous actress bit beyoncé in the face,0,2018
"at 27, hanif johnson is the youngest district judge in pennsylvania",0,2018
"check out 8 character posters from 'gringo,' the new action comedy that put david oyelowo through the ringer",4,2018
kenya awaits ruling in landmark case to legalize gay sex,6,2018
chrissy teigen and john legend welcome baby boy,4,2018
harvey weinstein turns himself in to police for alleged sex crimes,4,2018
the white house says this photo shows trump working. people aren’t buying it.,2,2018
seth meyers taunts donald trump: 'there's a good chance he'll flip on himself',2,2018
gloria allred: more ‘high-profile’ hollywood figures will be outed as predators,4,2018
beyoncé and jay-z are literally 'on the run' in jamaica filming a video,4,2018
the next census will ask about same-sex couples,6,2018
nun battling katy perry over convent sale dies in court,4,2018
questlove has a superhero power when it comes to prince songs,4,2018
twitter has some harsh reactions to kim kardashian and kanye west's new baby name,2,2018
jack white shreds in cut-for-time 'snl' wedding sketch,4,2018
baltimore rededicates former confederate memorial site to harriet tubman,0,2018
air travelers stuck in long lines after u.s. customs computers go down,10,2018
evan rachel wood is finally getting paid as much as her male 'westworld' costars,4,2018
trevor noah has an amusing theory about donald trump's sotu teleprompter,2,2018
kim kardashian confused by steve harvey dig that she 'didn't know nothing',4,2018
bill maher brutally dissects the trump administration's week of chaos,2,2018
jenna dewan tatum hinted at marital trouble with channing tatum months ago,4,2018
these portraits shine a light on the homeless faces you pass every day,5,2018
"jay-z got completely shut out at the grammys, and people are pissed",0,2018
eagles of death metal singer jesse hughes slams ‘pathetic’ teen shooting survivors,4,2018
why there are tiny holes at the bottom of windows on planes,10,2018
'arrested development' remix to hit netflix on friday ahead of new season,4,2018
first black woman on u.s. olympic speedskating team advances in games debut,8,2018
sfpd says it wants to protect sex workers; still employs cop accused of statutorily raping one,3,2018
colbert mocks ‘kellyanne kanye’ for his bizarre pro-trump tweetstorm,2,2018
"patti lupone, ben platt salute broadway at the grammys",4,2018
"the first 'venom' trailer is here, and spider-man better be scared",4,2018
michael phelps to u.s. olympic committee: do something for athletes with depression,8,2018
"jamaica's olympic bobsleigh coach quits, reportedly threatens to take sled",8,2018
greta gerwig loudly critiqued ‘i feel pretty’ and a moviegoer live tweeted it,4,2018
matt damon responds to ben affleck’s back tattoo like a true bff,4,2018
netflix just hired producer ryan murphy in a huge 5-year deal,4,2018
walgreens has adopted a transgender-inclusive bathroom policy,6,2018
stephen colbert thinks he has proof that trump watches his show,2,2018
report shows massive increase in anti-lgbtq violence since trump took office,6,2018
florida police thwart man's attempt to kidnap singer lana del rey,4,2018
john boyega has bad news for all the finn and poe shippers,4,2018
cal poly president says frat member in blackface likely won't be expelled,0,2018
that time 'great british baking show' judge mary berry got arrested at an airport,4,2018
dwayne 'the rock' johnson drops people's elbow onto fan criticizing 'jumanji',4,2018
"johnny weir says he's a commentator, not a 'complimentator'",8,2018
which celebrities did not bite beyoncé's face? an updating list.,4,2018
here are the movies coming to netflix this week,4,2018
ellen degeneres and sean hayes have a 'battle of the gays',6,2018
jennifer lawrence climbs over seats at the oscars with wine in hand,4,2018
'the late show' updates 'groundhog day' for the donald trump era,2,2018
'how that got in there?' jimmy kimmel spoofs donald trump's x-ray results,2,2018
chloe kim and jimmy fallon photobomb unsuspecting olympics fans,4,2018
the 'westworld' mystery that started it all might finally be solved,4,2018
angry grammys viewers have no patience for lorde performance snub,4,2018
paul simon says his 'farewell' tour will be his last,4,2018
olympian gus kenworthy calls mike pence a 'bad fit' as delegation leader,6,2018
'roseanne' reboot snags more viewers than 1997 season finale,4,2018
"kathryn newton, the boldest teen on tv, is ready to grow up",4,2018
"the dazzling color, glitter and floats from sydney's gay and lesbian mardi gras",6,2018
cynthia nixon would 'rather be the good nixon than the bad cuomo',4,2018
michelle wolf's netflix trailer gives us a closer look at her new show,2,2018
"simone biles, 5-time olympic medalist, says larry nassar sexually abused her, too",8,2018
older academy voters still haven't seen 'get out' and don't plan to,0,2018
jason isbell is one nashville-based singer unafraid to talk politics,4,2018
nassar reportedly abused over 2 dozen girls and women during sluggish fbi investigation,8,2018
teacher suspended after discussing her sexual orientation in class,6,2018
'walking dead' delivers a carol easter egg on easter,4,2018
rob lowe blasts bella thorne for clueless mudslide tweet,4,2018
blessing you with the best met gala 2018 tweets,4,2018
olympic analyst laments hockey player's 'unfortunate' domestic abuse incident,8,2018
couple who took in florida shooter: 'this isn’t the person we knew',3,2018
amy schumer almost got married by adele thanks to jennifer lawrence,4,2018
university of alabama expels sorority sister for using racial slurs in video rants,0,2018
james franco attends sag awards amid allegations of sexually inappropriate behavior,4,2018
stars wear all black at golden globes in powerful show of solidarity,4,2018
white supremacist charged with terrorism after alleged attempt to derail train,3,2018
ryan seacrest will work red carpet at oscars despite sexual misconduct claims,4,2018
adam rippon will now 'totally' take mike pence's telephone call,8,2018
bbc trolls president trump with bigly huge royal wedding crowd,4,2018
washington becomes latest state to ban gay 'conversion therapy',6,2018
washington state moves to ban gay conversion therapy,6,2018
3 usa gymnastics directors resign in larry nassar sex abuse scandal,8,2018
"neil young chimes in on a crosby, stills, nash & young reunion",4,2018
tracee ellis ross on 'black-ish' pay disparity: i want compensation that matches my contribution,0,2018
students singing national anthem kneel at mlb game,8,2018
a super dangerous snowboarding event just debuted at the winter olympics,8,2018
henry cavill shaved off his mustache and made this epic video in tribute,4,2018
chadwick boseman surprises thankful 'black panther' fans,4,2018
2 people injured in indiana school shooting,3,2018
jake tapper mocks donald trump's nickname fail: 'he's lost his ability',4,2018
how 2 california parents could 'home-school' their shackled and abused children,3,2018
'call me by your name' director reveals details on film's sequel,6,2018
this carrie fisher quote casts ‘last jedi’ in a whole new light,4,2018
seth meyers' 'newspaper movie' parody might be better than 'the post',4,2018
montana becomes first state to set its own net neutrality rules,9,2018
belgian transgender ballet drama wins big at cannes film festival,6,2018
"explosive facebook memo defended company's strategy, even if it got people killed",9,2018
lady gaga crushes on cardi b's 'bad romance' cover in high school,4,2018
'dancing with the stars' tour bus involved in fatal multi-car pileup,4,2018
michael caine says he won't work with woody allen again,4,2018
ryan reynolds' valentine's day gift to blake lively is just so him,4,2018
jillian michaels 'freaked out' when daughter said 'gay was gross',6,2018
sexual assault clinics offered at winter olympics for the first time,8,2018
"if people acted like they do on dating apps, the world would descend into chaos",4,2018
the 7 best netflix shows and movies debuting may 2018,4,2018
here's a first look at 'sorry to bother you' starring lakeith stanfield,0,2018
'black panther' passes the $500-million mark at the box office,4,2018
"jimmy kimmel unloads on sean hannity: ‘you, sean, are the whole ass circus’",4,2018
kylie jenner beat beyoncé at breaking the internet,4,2018
'assassination of gianni versace' is the best ryan murphy show you didn't watch,4,2018
trans man documents his gender affirmation journey in powerful video,6,2018
former google engineer suing company over perceived discrimination against white men,9,2018
amazon and whole foods disagree on products like coca-cola,1,2018
u.s. figure skaters dedicate olympic routine to florida shooting victims,8,2018
south korea's olympic stadium will host just 4 events before it's torn down,8,2018
jennifer lopez gives stirring support for time's up while working in puerto rico,4,2018
waffle house doubles down on chikesia clemons arrest as activists call for boycott,0,2018
‘the penumbra’ is the queer audio drama you didn’t know you needed,6,2018
gay couple claims russia accidentally recognized their marriage,6,2018
ram super bowl ad used mlk quote to sell trucks and people are not happy,0,2018
the first trailer for the queen biopic 'bohemian rhapsody' is here,4,2018
white house correspondents dinner host mocks trump for expected no-show,4,2018
cherish these moments in 'jersey shore family vacation' trailer,4,2018
it’s time for drag kings to detoxify masculinity on tv,6,2018
2 nevada teens say cop's son has been sending them racially charged threats,0,2018
$18 derby day bet wins thrilled texas woman $1.23 million,8,2018
pink claps back at troll who mocked her national anthem performance,4,2018
here's a great way to talk to kids about bodies and gender,6,2018
"colbert mocks giuliani's bonkers fox news interview: 'rudy, you're not helping!'",2,2018
chloë grace moretz drops cheating hint amid brooklyn beckham split rumors,4,2018
"kate hudson announces she's pregnant with her third child, a baby girl",4,2018
emma watson reportedly dating 'glee' star chord overstreet,4,2018
lance bass: 'i thought i'd never be able to tell anyone' i was gay,6,2018
trevor noah has 1 serious question for trump's doctor,2,2018
"this thrilling 'ocean's 8' trailer is full of glitz, glam and thieves",4,2018
mckayla maroney says she told olympic coach of nassar abuse in 2011,8,2018
kylie jenner and travis scott share first public video with stormi,4,2018
the trailer for matt bomer's controversial transgender movie is here,6,2018
australia reveals first gay marriage ended in heartbreak,6,2018
colbert nails exactly why trump is sticking with his 'candyman' white house doc,2,2018
how weinstein and the hollywood machine created ‘good guy’ matt damon,4,2018
her husband killed 49 people in orlando. now she's on trial for terrorism.,3,2018
comedian rob delaney announces death of two-year-old son,4,2018
vin diesel actually dressed as groot for 'avengers: infinity war' premiere,4,2018
watch tom hardy's bonkers transformation  into 'venom' -- finally,4,2018
james harden shows no mercy to wesley johnson in brutal ankle-breaker,8,2018
singer-actress lena hall honors the cranberries with chilling 'zombie' cover,4,2018
a guy dressed as black panther proposed at a 'black panther' screening,4,2018
'every day' author david levithan explains film's 'extremely queer' spirit,6,2018
"the trump white house's intern program is once again very, very white",0,2018
"disney admits to darkening white actors' skin for 'aladdin,' sparking outrage",4,2018
the cast of ‘incredibles 2’ is incredibly good,4,2018
julianna margulies uses donald trump poop bags to pick up after her dog,4,2018
barbra streisand suggests nose is why she hasn't been sexually harassed,4,2018
"in the rush toward a cashless society, the poorest are at risk of further exclusion",5,2018
twitter users reimagine the last year as #trumps1styearathogwarts,2,2018
ellen grills mark wahlberg about his shirtless instagram selfies,4,2018
atlanta airport teases 'black panther' fans with flights to wakanda,0,2018
bill maher delivers blistering critique of democrats' political courage,2,2018
chrissy metz says she was physically abused by her stepfather as a teen,4,2018
nasa’s juno spacecraft sent back some spectacular shots of jupiter,7,2018
roseanne barr tells jimmy kimmel to 'zip that f**king lip' about donald trump,4,2018
actress jameela jamil gives men a lesson in how not to be like aziz ansari,4,2018
man katy perry kissed on 'american idol' says he didn't like it,4,2018
andy cohen tells ellen why he gets kicked off a gay dating app,6,2018
jimmy kimmel's wife says his pancake art is 'making my life hell',4,2018
the 5 best (and most affordable) places to travel in march,10,2018
"john oliver beat a coal baron in court, then mocked him with a giant squirrel",2,2018
teen gets decades in prison for ‘murder’ of someone killed by a cop,0,2018
youtube's 'open letter' about logan paul isn't very open at all,9,2018
bill konigsberg explores a new side of the gay experience in his latest book,6,2018
so justin bieber and selena gomez did ring in the new year together,4,2018
gay bunny book outsells pence family's bunny book,2,2018
ohio mom wants teacher fired for telling her son he might be lynched,0,2018
christina aguilera is barely recognizable on paper magazine cover,4,2018
8 lesser-known u.s. natural treasures to visit in 2018,10,2018
school homework asks kids to give 3 'good' reasons for slavery,0,2018
sarah jessica parker sends condolences to kim cattrall after brother dies,4,2018
here’s what is leaving and arriving on netflix in march 2018,4,2018
5 ways you can do justice to martin luther king jr.’s legacy today,0,2018
gay couple who ignited russian same-sex marriage debacle go into hiding,6,2018
'this is us' star justin hartley says he was sexually harassed by fan,4,2018
#blackhogwarts magically takes twitter by storm,4,2018
"indiana jones could be played by a woman, steven spielberg says",4,2018
netflix casts a white guy in another film about asian culture,4,2018
scott baio facing new allegations from another 'charles in charge' costar,4,2018
"'the tale,' a visionary portrait of childhood sexual abuse, is 2018's first great movie",4,2018
geena davis and 4th husband reza jarrahy are divorcing,4,2018
the plot to put amateurism and the ncaa in the past,8,2018
the cop in the 'what are those?' meme loves that 'black panther' joke,4,2018
"workplace automation is happening, and women will be hit the hardest",5,2018
troye sivan says playing a conversion therapy survivor was 'intense',6,2018
this ex-nfl player is on a mission to become a chess master,8,2018
"luxury developments, gentrification, airbnb: the battle for boston's chinatown",5,2018
lebron james wears sneakers with pointed message to all-star game,8,2018
penguins find their moment in the spotlight with a video 'selfie',7,2018
"canadian snowboarder wins olympic bronze, 11 months after near-fatal crash",8,2018
david cross proves yet again that he’s terrible at apologizing,4,2018
gay former football player finds incredible acceptance in the south,6,2018
people are rattled by how much this nigerian man looks like chadwick boseman,4,2018
perennial tv mom nanette fabray dead at 97,4,2018
"michelle, ross and carson on the wild ride to 'rupaul’s drag race'",4,2018
a lando calrissian 'star wars’ spinoff starring donald glover isn't happening,4,2018
fed lowers the boom on wells fargo after years of grotesque scandals,1,2018
"judi dench was up for 'leading roll' sag award, and twitter rolled with it",4,2018
activists launch voter registration drive at 'black panther' screenings,0,2018
laura dern has a dog doppelgänger and the internet agrees,4,2018
'alone in the game' shows biggest hurdles for lgbtq athletes exist off the field,6,2018
